ID,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,Target,FLAG_CAR,FLAG_REALTY
5143232,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,-11,C,0,1,1
5143233,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,0,0,0,1,1
5143234,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,0,0,0,1,1
5143231,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,-7,C,0,1,1
5143235,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,0,0,0,1,1
5143237,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,0,C,0,1,1
5143236,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,0,0,0,1,1
5143238,1,15750000,Commercial associate,Higher education,Single / not married,House / apartment,-10142,-2479,1,0,0,0,Managers,20,-26,0,0,1,1
5009700,0,13500000,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,Managers,20,0,X,0,1,0
5009695,0,13500000,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,Managers,20,0,0,0,1,0
5009698,0,13500000,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,Managers,20,0,X,0,1,0
5090752,0,13500000,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,Managers,20,-3,C,0,1,0
5009699,0,13500000,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,Managers,20,-20,X,0,1,0
5009694,0,13500000,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,Managers,20,-21,C,0,1,0
5112948,1,11250000,Working,Higher education,Married,House / apartment,-16616,-1624,1,0,0,0,Managers,30,0,X,0,1,1
5025201,0,11250000,Commercial associate,Secondary / secondary special,Married,Rented apartment,-15960,-1646,1,0,0,0,Managers,20,0,0,0,1,0
5090777,2,11250000,Commercial associate,Higher education,Married,House / apartment,-14339,-2653,1,1,1,0,Managers,40,0,C,0,1,1
5126220,0,9900000,State servant,Higher education,Married,House / apartment,-22635,-2357,1,1,1,0,Core staff,20,0,0,0,0,0
5126218,0,9900000,State servant,Higher education,Married,House / apartment,-22635,-2357,1,1,1,0,Core staff,20,0,0,0,0,0
5126219,0,9900000,State servant,Higher education,Married,House / apartment,-22635,-2357,1,1,1,0,Core staff,20,0,0,0,0,0
5126217,0,9900000,State servant,Higher education,Married,House / apartment,-22635,-2357,1,1,1,0,Core staff,20,-34,X,0,0,0
5114627,0,9450000,Working,Secondary / secondary special,Married,House / apartment,-20836,-1838,1,0,0,0,Managers,20,0,X,0,0,1
5114625,0,9450000,Working,Secondary / secondary special,Married,House / apartment,-20836,-1838,1,0,0,0,Managers,20,-6,X,0,0,1
5114626,0,9450000,Working,Secondary / secondary special,Married,House / apartment,-20836,-1838,1,0,0,0,Managers,20,0,0,0,0,1
5114624,0,9450000,Working,Secondary / secondary special,Married,House / apartment,-20836,-1838,1,0,0,0,Managers,20,0,X,0,0,1
5023350,0,9000000,Working,Secondary / secondary special,Married,House / apartment,-18337,-1847,1,0,0,0,Managers,20,0,C,0,1,1
5090470,1,9000000,Working,Secondary / secondary special,Married,House / apartment,-15380,-4509,1,0,0,0,Laborers,30,0,C,0,0,1
5033677,0,9000000,Working,Higher education,Married,House / apartment,-19235,-1305,1,0,0,0,Drivers,20,0,C,0,1,1
5116006,1,9000000,Commercial associate,Higher education,Civil marriage,House / apartment,-16923,-2537,1,0,0,0,High skill tech staff,30,0,0,0,1,1
5067561,0,9000000,Commercial associate,Higher education,Married,House / apartment,-15295,-5498,1,0,0,0,Managers,20,0,0,0,1,1
5067560,0,9000000,Commercial associate,Higher education,Married,House / apartment,-15295,-5498,1,0,0,0,Managers,20,0,0,0,1,1
5118639,0,9000000,State servant,Higher education,Married,House / apartment,-23392,-1921,1,0,1,0,Core staff,20,0,X,0,1,0
5116002,1,9000000,Commercial associate,Higher education,Civil marriage,House / apartment,-16923,-2537,1,0,0,0,High skill tech staff,30,-17,X,0,1,1
5079014,2,9000000,Commercial associate,Higher education,Married,House / apartment,-9889,-1000,1,0,0,0,Managers,40,-8,X,0,1,1
5066544,1,9000000,Working,Secondary / secondary special,Married,Co-op apartment,-15344,-1101,1,0,0,0,Managers,30,0,X,0,1,1
5116003,1,9000000,Commercial associate,Higher education,Civil marriage,House / apartment,-16923,-2537,1,0,0,0,High skill tech staff,30,0,0,0,1,1
5067562,0,9000000,Commercial associate,Higher education,Married,House / apartment,-15295,-5498,1,0,0,0,Managers,20,0,0,0,1,1
5079016,2,9000000,Commercial associate,Higher education,Married,House / apartment,-9889,-1000,1,0,0,0,Managers,40,0,C,0,1,1
5066539,1,9000000,Working,Secondary / secondary special,Married,Co-op apartment,-15344,-1101,1,0,0,0,Managers,30,0,X,0,1,1
5009360,0,9000000,Working,Higher education,Single / not married,House / apartment,-19063,-7404,1,0,0,0,Managers,10,0,0,0,1,0
5118640,0,9000000,State servant,Higher education,Married,House / apartment,-23392,-1921,1,0,1,0,Core staff,20,0,X,0,1,0
5118642,0,9000000,State servant,Higher education,Married,House / apartment,-23392,-1921,1,0,1,0,Core staff,20,-33,X,0,1,0
5116001,1,9000000,Commercial associate,Higher education,Civil marriage,House / apartment,-16923,-2537,1,0,0,0,High skill tech staff,30,-10,X,0,1,1
5118637,0,9000000,State servant,Higher education,Married,House / apartment,-23392,-1921,1,0,1,0,Core staff,20,-27,X,0,1,0
5116005,1,9000000,Commercial associate,Higher education,Civil marriage,House / apartment,-16923,-2537,1,0,0,0,High skill tech staff,30,0,0,0,1,1
5079018,2,9000000,Commercial associate,Higher education,Married,House / apartment,-9889,-1000,1,0,0,0,Managers,40,0,1,1,1,1
5067563,0,9000000,Commercial associate,Higher education,Married,House / apartment,-15295,-5498,1,0,0,0,Managers,20,0,0,0,1,1
5023348,0,9000000,Working,Secondary / secondary special,Married,House / apartment,-18337,-1847,1,0,0,0,Managers,20,0,C,0,1,1
5079013,2,9000000,Commercial associate,Higher education,Married,House / apartment,-9889,-1000,1,0,0,0,Managers,40,0,0,0,1,1
5023342,0,9000000,Working,Secondary / secondary special,Married,House / apartment,-18337,-1847,1,0,0,0,Managers,20,0,C,0,1,1
5066536,1,9000000,Working,Secondary / secondary special,Married,Co-op apartment,-15344,-1101,1,0,0,0,Managers,30,-21,C,0,1,1
5066543,1,9000000,Working,Secondary / secondary special,Married,Co-op apartment,-15344,-1101,1,0,0,0,Managers,30,0,C,0,1,1
5023347,0,9000000,Working,Secondary / secondary special,Married,House / apartment,-18337,-1847,1,0,0,0,Managers,20,-12,X,0,1,1
5125940,0,9000000,Working,Higher education,Married,House / apartment,-18634,-1169,1,0,1,0,,20,0,0,0,0,1
5118638,0,9000000,State servant,Higher education,Married,House / apartment,-23392,-1921,1,0,1,0,Core staff,20,-40,X,0,1,0
5066535,1,9000000,Working,Secondary / secondary special,Married,Co-op apartment,-15344,-1101,1,0,0,0,Managers,30,0,C,0,1,1
5023345,0,9000000,Working,Secondary / secondary special,Married,House / apartment,-18337,-1847,1,0,0,0,Managers,20,-43,X,0,1,1
5118641,0,9000000,State servant,Higher education,Married,House / apartment,-23392,-1921,1,0,1,0,Core staff,20,-8,X,0,1,0
5066542,1,9000000,Working,Secondary / secondary special,Married,Co-op apartment,-15344,-1101,1,0,0,0,Managers,30,0,0,0,1,1
5079015,2,9000000,Commercial associate,Higher education,Married,House / apartment,-9889,-1000,1,0,0,0,Managers,40,0,C,0,1,1
5066540,1,9000000,Working,Secondary / secondary special,Married,Co-op apartment,-15344,-1101,1,0,0,0,Managers,30,0,C,0,1,1
5116004,1,9000000,Commercial associate,Higher education,Civil marriage,House / apartment,-16923,-2537,1,0,0,0,High skill tech staff,30,-2,X,0,1,1
5079017,2,9000000,Commercial associate,Higher education,Married,House / apartment,-9889,-1000,1,0,0,0,Managers,40,0,0,0,1,1
5009359,0,9000000,Working,Higher education,Single / not married,House / apartment,-19063,-7404,1,0,0,0,Managers,10,0,C,0,1,0
5036296,0,8100000,Commercial associate,Higher education,Single / not married,House / apartment,-10712,-1498,1,0,0,0,,10,0,C,0,1,1
5117038,1,8100000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14843,-4297,1,1,0,0,Managers,30,-15,X,0,0,1
5033740,1,8100000,Working,Secondary / secondary special,Married,House / apartment,-15989,-2240,1,0,0,0,Laborers,30,0,X,0,1,1
5148671,1,8100000,Commercial associate,Incomplete higher,Civil marriage,Office apartment,-17922,-3455,1,0,0,0,Security staff,30,0,0,0,1,1
5125437,1,8100000,Commercial associate,Higher education,Married,House / apartment,-18365,-4456,1,1,1,1,,30,-33,0,0,1,1
5033739,1,8100000,Working,Secondary / secondary special,Married,House / apartment,-15989,-2240,1,0,0,0,Laborers,30,0,0,0,1,1
5148668,1,8100000,Commercial associate,Incomplete higher,Civil marriage,Office apartment,-17922,-3455,1,0,0,0,Security staff,30,-15,C,0,1,1
